Trans,URL,Total_Ttl,Jbs_Fld,Trans_ID,Copyright,Pub_Worked,Total_Pub,Trans_loc,Trans_loc_lat,Trans_loc_lng,Trans_BD,Trans_DD,Age,Bio
Ali Nusret,https://teis.yesevi.edu.tr/madde-detay/ali-nusret,7,Eğitim Ve Bilim -  Yayıncılık,Yazar -  Şair -  Çevirmen -  Öğretmen,False,"Tercüman-ı Hakikat, Kitabhane-i Ebuzziya, Tanin",3,"Yenişehir Feneri, Yunanistan",39.63689,22.41761,1872,1913,41,"1289/1873 yılında Yenişehir'de doğdu. Asıl adı Ali Nusret Bey'dir.
Şiirlerinde Nusret mahlasını kullandı. Dedesi, Sadrazam Hüsrev Paşa'nın divan
efendiliğinde bulunan Mustafa Bey, babası Plevne muharebesinde şehit olan
Binbaşı Osman Şahabeddin Bey, annesi İsmet Hanım'dır. Şair Cenab Şahabeddin'in
dört yaş küçük kardeşi, şair Osman Fahri'nin ağabeyidir. Henüz üç
yaşlarındayken babası Plevne'de şehit düştü. Rus bozgunundan sonra annesi ve
ağabeyi ile beraber İstanbul'a gelip Tophane civarında bir eve yerleştiler.
Tophane'deki Mekteb-i Feyziyye'yi bitirdikten sonra 1297'de (1881/1882) Eyüp
Askeri Rüşdiyesi'ne girdi. Üç yıl burada okuduktan sonra 1303 (1887/1888) senesinde
Mühendishane-i Berri-i Hümayûn'a geçti. 1309/1891 senesinde istihkam
mülazımlığı ile teğmen olarak mezun oldu. Aynı yıl muallim tayin olunarak
göreve başladı ve Mühendishane'de Fransızca, kitabet ve tarih derslerini
okuttu. 1324/1908 senesinde Kaymakam (yarbay) rütbesiyle Mareşal Yaveri oldu.
Genç denecek bir yaşta Topçu Yarbayı iken kaymakamlık rütbesiyle 1326/1908
senesinde emekliye ayrıldı. Ali Nusret askerlik yaparken de çeşitli görevlerde
bulunmuştur ancak daha çok öğretmenlik yapmıştır. Emekli olduktan sonra da
öğretmenlik mesleğine devam etti. 1325/1909 yılından itibaren Vefa İdadisi'nde
edebiyat öğretmenliği yapmaya başlamış, bunun yanında Mercan İdadisi ve
Darulmuallimin'de hastalığı ağırlaşıncaya kadar edebiyat dersleri vermeye devam
etmiştir. Ali Nusret devrin yaygın bir hastalığı olan vereme yakalanmış, henüz
kırk bir yaşlarındayken 1331/1913 yılında İstanbul'da vefat etmiştir. Vasiyeti
üzerine Fatih Camisi haziresinde Plevne müdafii Gazi Osman Paşa Türbesi'nin
önüne defnedilmiştir. Ölümü üzerine kendisi gibi şair olan kardeşi Osman Fahri,
kardeşini genç yaşta kaybetmenin acısıyla kaleme aldığı şiirleriniMersiyeleradlı
kitabında toplamıştır. Bu kitap 22 sayfa halinde 1329/1913 senesinde
İstanbul'da yayımlanmıştır (Vahapoğlu 2010: 142-146)."
Ali Püsküllüoğlu,https://teis.yesevi.edu.tr/madde-detay/puskulluoglu-ali,1,Yayıncılık,Şair -  Sözlük Yazarı -  Eleştirmen,True,Ankara Üniversitesi,1,Adana,36.98615,35.32531,1935,2008,73,"Çitfçi bir ailenin çocuğu olan Ali Püsküllüoğlu,
Adana'nın Kadirli ilçesinde doğmuştur. Mersin Lisesi’ndeki öğrenimini yarıda
bırakarak çalışmak zorunda kalmıştır. Çeşitli işler yaptıktan sonra(çiftçilik,
gazete satıcılığı, sinema biletçiliği, avukat yazmanlığı, redaktörlük,
gazetecilik, yayımcılık gibi) 1959’da İstanbul’da Çevre Yayınevini kurmuştur.
1960 yılında Türk Dil Kurumu’na girmiş ve orada Yayın ve Tanıtma Kolu’nda uzman
olarak çalışmıştır (1983 yılına kadar). Aynı yıl Kadirli'deKaracaoğlanadlı bir gazete çıkarmıştır. Bu yıllarda Türk Dil Kurumu adına radyo
konuşmaları hazırlamıştır. Aynı şekilde 1962-1963 yılları arasında Ankara
Radyosu’nda ve Türkiye Radyolarında dil üzerine programlar hazırlamıştır."
Ali Rıza Seyfi,https://teis.yesevi.edu.tr/madde-detay/ali-riza-seyfi-mdbir,15,Kamu Ve Hukuk -  Yayıncılık,Yazar -  Şair -  Mütercim -  Asker,True,"Tahir Bey, Ali Şükrü, Ciddi Eserler Kütüphanesi, Erkan-ı Harbiye-i Umumiye, Deniz, Resimli Ay, Sinan Matbaası Neşriyat Evi, Kanaat, Askeri, Milli Eğitim Bakanlığı",10,İstanbul,41.01384,28.94966,1880,1958,78,"Ali Rıza Seyfi, 1879/1880 yılında Kasımpaşa’da doğdu. Hayatının 12 yılını Gemlik’te geçirdi. Daha sonra ağabeyi Süleyman Nutki Bey’in isteği üzerine İstanbul’a Kasımpaşa Bahriye Hastanesi yokuşundaki Bahriye Rüştiyesi’ne kayıt yaptırdı. Abisinin sert yapısından dolayı bu durum onun için işkence oldu ve kendisini hapsedilmiş hissettiğinden farklı uğraş alanları aradı. Tarih kitaplarına ilgisi bu yıllarda başladı (Yıldız, 2002: 14-15). 1892'de Ada Mektebi’ne girdi. Dördüncü sınıfa gittiği sırada bazı arkadaşlarıyla Avrupa’ya kaçmak isterken yakalandı. 1897'de harp mülazımı olarak Bahriye’den mezun olan Ali Rıza Seyfi, staj yapması gerekirken siyasetle ilgilendiği için Basra’da bulunan Zihaf kuvvetlerine gönderildi. Daha sonra Çanakkale Boğazı’ndaki donanmada, Hamidiye, Aziziye ve Orhaniye zırhlılarında çalıştı.Turgut ReisveÇanakkale ve Civarı Tarihieserlerini buradan yazan sanatçı,Mecmua-i Funun-ı Bahriye’deyayımlanan bu eserlerin ilgi görmesi üzerine İstanbul’da Bahriye Fen Komisyonu üyeliğine tayin edildi. Birkaç yıl sonra buradan ayrılan yazar, Trablusgarp’ta Mansure kuvvetlerine gönderildi. Orada vali ve kumandan olarak bulunan Recep Paşa sayesinde birkaç yıl sonra İstanbul’a tekrar döndü. 1906’da Erkan-ı Harbiye-i Bahriye Dairesi’nin tercüme odasının fen şubesine tayin edildi. Burada Türkçülerden Saffet Bey'le çalışan Ali Rıza Seyfi, aynı zamanda İttihat ve Terakki Cemiyeti için de faaliyetlerde bulundu. 1909’da askerlik mesleğinden emekli olan sanatçı, yazı sahasına atıldı (Ergun:455-456)."
Ali Suavi,https://teis.yesevi.edu.tr/madde-detay/ali-suavi,5,Eğitim Ve Bilim -  Medya -  Yayıncılık,Gazeteci -  Yazar -  Ansiklopedist -  Eğitimci -  Düşünce Adamı,False,"Ruzname-i Ceride-i Havadis Gazetesi, Mukhbir",2,İstanbul,41.01384,28.94966,1839,1878,39,"İstanbul’da, Cerrahpaşa’da doğdu (Kuntay 1946: 8). Babası Hüseyin Ağa, Çankırı'nın Çerkeş kazasına bağlı Viranşehir nahiyesinin günümüzde “Çaylı” denilen Çay köyündendi (Danişmend 1942: 8). Suavi'nin Sıbyan mektebinde başlayan eğitim hayatı Davutpaşa Rüştiyesinde devam etti. Ardından Bab-ı Seraskeride Dersaadet Yoklama Kalemine memur olarak girdi. Sami Paşa’nın maarif nazırlığı sırasında girdiği rüştiye muallimliği imtihanında büyük başarı göstererek Bursa Rüştiyesine Muallim-i Evvel tayin edildi (İrtem 2003: 139). Bir yıl kaldığı Bursa’dan sonra Sofya’da ticaret mahkemesi reisliği, ardından Filibe’de tahrirat müdürlüğü görevlerinde bulundu (Çelik 1993: 5-6). İstanbul’a döndükten sonra Sami Paşa’nın konağına yerleşti; Fransızcayı burada öğrendi (Doğan 1991: 222). Bir yıla yakın Şehzade Camii’nde ders verdi ve dini ilimlerdeki bilgisiyle Namık Kemal başta olmak üzere İstanbul’daki aydınların dikkatini çekti (Uçman 1989: 445). 1867'nin Ocak'ında Filip Efendi’ninMuhbir’inde gazeteciliğe başladı. Dönemin siyasi ve sosyal meseleleriyle ilgili eleştiri dolu yazılar kaleme aldığıMuhbir(Çelik 1994: 71-72), otuz ikinci sayıdan itibaren Ali Paşa’nın çıkardığı sansür nizamnamesiyle hükümet tarafından kapatıldı ve Suavi 25 Şubat 1867’de Kastamonu’ya sürgün edildi. Kastamonu’da iki buçuk ay gözetim altında kaldıktan sonra Mustafa Fazıl Paşa’nın daveti üzerine gizlice İstanbul’a geldi. 22 Mayıs 1867’deCourrier d’Orientgazetesinin sahibi Jean Pietri’nin yardımlarıyla Avrupa’ya kaçtı ve kendisini Mesina limanında bekleyen Namık Kemal ve Ziya Paşa'yla Paris’e gitti. 30 Mayıs 1867’de Paris’e varan bu üç Osmanlı aydını, doğruca Mustafa Fazıl’ın konağına gitti (Uçman 1989: 446). 1865 yazında, Belgrad Ormanları’nda yaptıkları toplantıyla (Mardin 1998: 17) İstanbul’da Meslek Cemiyetini kuran Mehmed, Reşad ve Nûri Bey’lerin de katılımıyla; Temmuz 1867’de Avrupa’da, Mustafa Fazıl’ın ekonomik açıdan desteklediği Yeni Osmanlılar Cemiyeti kuruldu (Bilgegil 1976: 356). 10 Ağustos 1867’de Paşa’nın konağında yapılan toplantıda, cemiyeti temsil etmesi amacıyla Suavi’nin bir gazete çıkarması ve çeyrek milyon franklık bir fonun Ziya Bey’in denetimine verilmesi kararlaştırıldı (Davison 2005: 222). 31 Ağustos 1867’de basının her anlamda serbest bulunduğu Londra’daMuhbir(Le Mukhbir)’in ilk sayısını çıkaran Suavi (Ebuzziya Tevfik 1973: 149), aynı zamanda İngiliz Marie Stewar Lugh'la evlendi. Muhbir'in ilk sayısından itibaren Yeni Osmanlılar Cemiyeti'nin amaçları dışında bir yayın politikası izledi. Osmanlının kültür ve eğitim meseleleri üzerinde yoğunlaşan yazılar yazarakMuhbir’e maarif gazetesi özelliği kazandıran Suavi’nin bildiğini okuyan tavrı cemiyetin diğer üyeleriyle arasını açtı. Gönderdikleri mektup aracılığıyla Yeni Osmanlılara ait resmi mührün gazeteden çıkarılmasını isteyen Namık Kemal ve Ziya Bey (Tanpınar 1985: 232), o sırada İstanbul’da bulunan Mustafa Fazıl Paşa’nın direktifleriyle 29 Haziran 1868’de, cemiyeti temsil etmesi amacıyla Londra’daHürriyetgazetesini çıkardı (Doğan 1991: 203). Cemiyetin reisi Mustafa Fazıl Paşa’nın Avrupa’ya gelen Sultan Aziz’e verdiği arzuhalle İstanbul’a dönmesi üzerine arkadaşlarıyla hiçbir bağı kalmayan Suavi, kandırılmış hissettiği gibi, amaca ihanetle suçladığı Paşa’nın Yeni Osmanlılar Cemiyeti'nden ihracına dair bir beyanname yayımladı (Danişmend 1942: 12-13). Dolayısıyla bu gençleri vatanlarından, işlerinden ayırarak Avrupa’da birleştiren de; aralarındaki uyuşmazlığa ilk defa yol açan da Mustafa Fazıl Paşa oldu (Bilgegil 1979: 123).Muhbirkapandıktan (3 Kasım 1968) sonra Paris’e geçen Suavi, 1869'un Temmuzundan itibarenUlûm'u çıkarmaya başladı. Yirminci sayıdan itibaren gazeteye ekKamusu’l-Ulûm ve’l-Ma’arifadlı alfabetik bir ansiklopedi yayımladı. Türkçe ilk resimli ansiklopedi denemesi olan bu yayın, 1870 Alman-Fransız Savaşı'nın başlamasıyla yarıda kaldı. Paris’ten ayrılarak Lyon'a geldi ve buradaMuvakkaten Ulûm Müşterilerineadında bir dergi çıkardı. Alman işgalinin sona ermesiyle tekrar Paris’e döndü. Yeni Osmanlılar, İstanbul basınında siyasi suçla yurtdışında sürgünde bulunanların affedilmelerine ilişkin duyuruların yayımlanması üzerine Kasım 1871’den itibaren Türkiye’ye dönmeye başladı (Doğan 1991: 207). Suavi’nin dönmek için yaptığı başvuru ise reddedildi. 1876 sonbaharına kadar Paris’te kalan Suavi bu süreçte hürriyet ve meşrutiyeti hedef alan yazılar yazdı. Batı karşıtı bir ruhla kaleme aldığı yazılar, ülkeye dönebilmek adına inandığı değerleri inkar etmesi şeklinde yorumlansa da asıl neden, Türk dostu oldukları bilinen İngiliz Urquhart ve Fransız Le Play’la kurduğu yakın ilişkiydi (Çelik 1994: 584). Tahta çıktıktan bir ay sonra Sultan Abdülhamid’e, geri dönmek için dilekçe gönderen Suavi’nin başvurusu kabul edildi ve Suavi 3 Kasım 1876’da İstanbul’a döndü. Suavi, İstanbul’a döndüğünde artık hürriyete ve meşrutiyete inanmıyordu. Onun bu yönde değişimi, II. Abdülhamid’in hoşuna gitti (Kuntay 1946: 152). Gelir gelmez Sultan Abdülhamid’in çocuklarına öğretmen ve saray kütüphanesine yönetici olarak atandı. Aynı zamanda Abdülhamid’in başdanışmanı oldu.Vakit,Basiret,Sadakat,MüsavatveÜmran'da meşrutiyet karşıtı yazılar yazmayı sürdürdü. Yurt dışında sürgünde bulunan Mithat Paşa aleyhinde de yazılar yazarak Abdülhamid’in güvenini kazandı. Fransızcayı iyi bilmesi ve Avrupa tarzı eğitim kurumlarını yakından tanıması nedeniyle 1 Şubat 1877’de Mekteb-i Sultani müdürlüğüne atandı. Milli ve İslami yönünün etkisiyle okulda köklü bir ıslahat girişimi başlattı (Çelik 1993: 31-32). Mücadele ettiği sorunların başında gayrımüslim öğrencilerin sayıca fazla oluşu, Bulgar öğrencilerin devlete karşı silahlı eylem planları, öğretmenlerden bazılarının zararlı ve bölücü faaliyetleri ve okulda uygulanan öğretim yönteminin yetersizliği geliyordu (Akyüz 1982: 122-123). Suavi, okulu öğretmen kadrosu ve müfredat bakımından İstanbul’un İslami atmosferine taşıdığı için dönemin Maarif Nazırı Münif Paşa’nın; Osmanlı-Rus Savaşı ile ilgili olarak İngiltere aleyhine yazıyla da İngiliz elçisi Henry Layard’ın tepkisini çekti. Layard, Babıali’ye şikayet ettiği Suavi’yi görevden aldırdı (Çelik 1993: 36). Sultani müdürlüğünden alındıktan sonra işsiz kalsa da cami vaazları, gazete makaleleri aracılığıyla Osmanlı-Rus savaşı hakkında kamuoyunu bilinçlendirmeye devam etti. Bir yandan da Rus tehdidi altındaki Balkan muhacirleri için yardım kampanyası başlattı (Doğan 1991: 213). Urquhart ve çevresindekilerin etkisiyle, Osmanlı devletinin Rusya’dan güçlü olduğuna ve savaşı sürdürmeleri gerektiğine inandığından, Osmanlının yenilgiyi kabul edip Ayastefanos Anlaşması'nı imzalamasını kabullenemedi. Devleti yabancı elçilerin idaresinden kurtarmak ve Kırcaali’de devam eden mücadelenin başına Sultan Murad’ı geçirmek için (Çelik 1993: 47), 20 Mayıs 1878’de Rumeli’den kaçıp İstanbul’a gelen birkaç yüz muhacirle Çırağan Sarayı’nı bastı. Sultan Murad’ı dışarıya çıkarmaya çalışırken; Beşiktaş Zabıta Amiri Hasan Paşa tarafından öldürüldü (Uzunçarşılı 1944: 79-83). “Çırağan Vak’ası” olarak bilinen bu olayda can veren Suavi’nin İngiliz ve Rus ajanı olduğu yönünde iddialar ortaya atıldı. Karısının İngiliz olması da aleyhinde kullanıldı."
Ali Süha Delilbaşı,https://teis.yesevi.edu.tr/madde-detay/delilbasi-ali-suha,13,Yayıncılık -  Sağlık,Doktor -  Yazar -  Çevirmen -  Şair.,True,"Hilal, Haşet Kitaphaneleri, Milli Eğitim Bakanlığı, Ulusal, CHP Halkevleri, Sağlık ve Sosyal Yardım Bakanlığı",6,İstanbul,41.01384,28.94966,1887,1960,73,"İstanbul doğdu. Babası, Erkan-ı Harp Feriki Ferih Akif Paşa, annesi Azize Hanım’dır. (TBMM 1939) Aslen Erzurumlu olan Ali Süha, IV. Murat’ın Bağdat’ı fethinden beri Kütahya’da oturan Delilbaşı ailesindendir. Bebek yaşta babasını kaybet en Delibaşı, ilk tahsilini Kadıköy’deki Halile-i Mahmudiye isimli hususi mektepte tamamladı. Daha sonra Trabzon Asker Rüşdiyesi ile Mülki İdadi’yi bitirdi. Tıp Fakültesi’nden 1911'de mezun oldu. İlk memuriyeti Bağdat’ın Hille kazasındaki belediye hekimliğidir. Bir süre sonra bu görevinden istifa ederek Bağdat Demiryolu İnşaat Şirketi’nde hekim olarak göreve başladı. Umumi seferberlikte Mükellef Yüzbaşı olarak orduya dahil oldu. Bu dönemde Bağdat Merkez Hastanesi’nde, Kolordu Sertabip Muavinliği’nde ve Basra yakınlarında gerçekleşen Şuaybe Harekatı’nda sıhhiye bölüğü sertabipliğinde görev aldı. Hastalığı sebebiyle İstanbul’a dönmek zorunda kaldı. Askerlik görevi bittikten sonra sırasıyla Edirne Merkez, Yalova, Üsküdar, Niğde Tababetlerinde görev yaptıktan sonra Zincidere Darü’l-eytamı müdür-i saniliğinde, Ankara Şehremaneti Sıhhiye Müdürlüğünde, Sıhhat Vekaleti Hıfzıssıhha Mütehassıslığında ve Hıfzıssıhha Umum Müdürlüğü vekaletinde bulundu. Bir süre sonra Sıhhat Vekaletinden istifa etti. Son olarak Ankara Polis Başhekimliği görevini yaptı. (TBMM 1939) 1939'dan itibaren VI. ve VII. Dönem Kütahya Milletvekili olarak TBMM’de yer aldı. İngilizce ve Fransızca bilen Delilbaşı, dönemin tek partisi olan Cumhuriyet Halk Partisi’nden vekil olarak seçilmişti."
Ali Ulvi Kurucu,https://teis.yesevi.edu.tr/madde-detay/ali-ulvi-kurucu,3,Din -  Yayıncılık,Şair -  Yazar -  Hafız,True,"Hilal, Orkun",2,Konya,37.87135,32.48464,1922,2002,80,"Konya'da doğdu. Babası Konya'nın tanınmış alimlerinden Hacıveysizade İbrahim Efendidir. Dört yaşındayken annesini kaybetti. 1931'de ilk hocası olan babasının yanında hafızlığını tamamladı. 1932'de Konya Müftülüğü'nün açtığı Kur'an mektebine gönderildi. Babasından sarf-nahiv, Kadiri şeyhi Hafız Ali Efendi’den kıraat okumaya başladı ve Konya Kapı Camii'nde yeni başlatılan öğle mukabelesinin ilk başhafızı oldu. İlk ve orta eğitimini Konya'da bitirdi. Babası, kardeşleri ve amcası ile birlikte ilim tahsili amacıyla göç etti. 1939 yılında Mekke'ye ulaşan Kurucu, Hac ibadetini yaptıktan sonra yükseköğrenim görmek için Mısır'a gitti ve 1939'da Kahire'de El-Ezher Üniversitesi'ne kaydoldu. Ailesi ise Medine'ye yerleşti. 1945'te babasının ölümü üzerine, eğitimine ara vererek 1946'da Medine'ye geldi. Medine'de Evkaf Dairesi'nde İnşaat ve Sicillat emini olarak çalıştı. 1953-1975 yılları arasında Mahmûdiye Kütüphanesi'nde, 1975-1985 yılları arasında Şeyhülislam Arif Hikmet Kütüphanesi'nde müdür olarak görev yaptı ve emekliye ayrıldı. Emekli olduktan sonra Türkiye'de daha çok kalmaya başladı. 1994 yılında felç geçirdi, 3 Şubat 2002 yılında Medine'de vefat etti. Cennetü'l-Baki Mezarlığı'na defnedildi."
Aliasgar Kemal,https://teis.yesevi.edu.tr/madde-detay/aliasgar-kemal,1,Performans Sanatları,Dramaturg -  Oyun Yazarı,False,"",0,"Kazan, Tataristan",55.78874,49.12214,1878,1933,55,"Kazan'da Aliekber Kemaletdinov ile Mevgıyze Hanım çiftinin ilk çocuğu olarak dünyaya geldi. Önce sırasıyla Kazan'daki Osmaniye ve Halidiye medreselerinde, sonra da A. Barudi'nin Muhammediye Medresesinde eğitim aldı. Ş. Mercani, K. Nasıri gibi ileri görüşlü yazarların eserlerini okuyan Kemal, Rusça öğrendi ve Rus edebiyatını tanıdı (1893-1900) (Kamal 1979: 3-17; Türkoğlu 2002: 224; Karakılıç Akı 2013: 28-31)."
Alper Çeker,https://teis.yesevi.edu.tr/madde-detay/alper-ceker,5,Yayıncılık,Çevirmen -  Şair -  Yazar,True,Altıkırkbeş,1,İstanbul,41.01384,28.94966,1972,,52,"İstanbul'da doğan Alper Çeker; şair ve yazar olup aynı zamanda dünya edebiyatından çeviriler yapmaktadır. Çeker, 1991 yılında Kadıköy Anadolu Lisesinden, 1998 yılında ise İstanbul Üniversitesi Rus Dili ve Edebiyatı Bölümünden mezun oldu. Altıkırkbeş Yayınlarında editörlük ve çevirmenlik yapan Alper Çeker,İzdihamdergisinde de yazılar yazmaktadır. İlk şiiri 1991'deDüşlerdergisinde çıktı. Şiir, yazı ve çevirileri;Düşler, Sonbahar, Varlık, Göçebe, Kaşgar, Edergileri ileYenişafakgazetesinde yayımladı. Şiirlerinin yanısıra göstergebilim ve dil bilim alanındaki yazıları, müzik ve sinema alanındaki çevirileri ile de dikkat çekti.Kaşgar dergisinin ilk altı sayısının veEdergisinin yönetiminde yer aldı. İstanbul Belediyesi Kültür İşleri Dairesinde çalışmaktadır (Yalçın, 2010). İlk şiirlerini 1990'lı yıllarda yayımlamaya başlayanÇeker'in Gece Şehre Dedi Kiadlı şiir kitabının ilk baskısı 1995 yılında yapıldı. Alper Çeker, çeşitli dallarda verdiği eserler ile yazı hayatını devam ettirmektedir."
Anıl Meriçelli,https://teis.yesevi.edu.tr/madde-detay/mericelli-anil,4,Medya -  Yayıncılık,Şair -  Çevirmen -  Gazeteci,True,"Varlık, Meriçelli, İnsancıl, Yaba",4,Muğla,37.21807,28.3665,1937,,87,"Asıl adı Anıl Boduroğlu'dur. Muğla / Milas'ta dünyaya gelmiştir. Babası deri sanayicisidir. İstanbul Erenköy İlkokulu, İstanbul Koleji, Robert Kolej ve Robert Kolej’in Kimya Bölümü’nden sonra Londra Dericilik Koleji’ni birincilikle bitiren Meriçelli, bir süreVatangazetesinde çalışmış ve Ülkü Tamer’le birlikteİzlerimizdergisini çıkarmıştır. 1984-1994 yılları arasındaDeri Dergisi’nin yazı kurulu başkanlığını yapan Meriçelli, Bursa'da yayımlananDüşlemdergisi kurucuları içindedir."
Asım Bezirci,https://teis.yesevi.edu.tr/madde-detay/bezirci-asim,16,Yayıncılık,Yazar -  Çevirmen -  Eleştirmen,True,"Ekicigil, Ataç, İstanbul Matbaası, De, İzlem, Varlık, Sosyal Yayınlar, Oluş, Dönem, Ararat, Çan, Kitoy, Yazko, Damar",14,Erzincan,39.73919,39.49015,1927,1993,66,"Asım Bezirci, Erzincan’da Mollagüzel Mahallesinde Hamdi Bezirci ile Refika Hanım’ın çocuğu olarak dünyaya geldi. Doğum tarihini “Nüfuz cüzdanımda ‘doğum tarihi: aslı 1928, tashihi 1927’ yazılı” (Özyalçıner 2009: 46) şeklinde ifade eder. Ailenin on bir çocuğu daha olur ama hayatta kalan tek çocuk Asım Bezirci’dir. Marangozluk ve inşaat işlerinden anlayan babası Devlet Demiryollarında işçi olarak yirmi dört yıl çalıştıktan sonra emekli olmuştur. Annesi ise okuma-yazma bilmeyen ama kitaplara ilgi duyan bir kadındır. Ailenin tek çocuğu olan Asım Bezirci ilgi gösterilen bir çocuk olarak büyür."
Ataol Behramoğlu,https://teis.yesevi.edu.tr/madde-detay/behramoglu-ataol,21,Performans Sanatları -  Eğitim Ve Bilim -  Medya -  Yayıncılık,Şair -  Yazar -  Çevirmen -  Gazeteci -  Öğretim Üyesi -  Dramaturg,True,"Ekim, Sinan, Cem, Yeni Türkü, İletişim, Milliyet, Doğan Kitap, Gendaş, Yapı Kredi, Adam, Türkiye İş Bankası, Cumhuriyet, Kültür ve Turizm Bakanlığı, Tekin, İlkay Ofset",15,İstanbul,41.01384,28.94966,1942,,82,"Ataol Behramoğlu (Gürus) (Sırasıyla Tulgar ve Gürus ailenin eski soyadlarıdır) İstanbul Çatalca’da doğdu. Azeri kökenli bir aileye mensuptur. Babası yüksek ziraat mühendisi Haydar Bey, annesi İsmet Hanım’dır. Üç erkek kardeşi vardır. Şair ve yazar Nihat Behram kardeşlerinden biridir. Avukat olan diğer kardeşi Namık Kemal Behramoğlu’nun da bir şiir kitabı vardır. İlk çocukluk yıllarını Kars’ta geçiren Ataol, ilkokul üçüncü sınıfa kadar burada okudu. Daha sonra babasının tayini dolaysıyla ailesi Çankırı’ya taşındı. İlkokulu Kurtuluş İlkokulu’nda (1953), ortaöğretim (1956) ve liseyi Çankırı Lisesi’nde (1960) tamamladı. İlk şiiri lise yıllarındaYeni Çankırıgazetesinde Ataol Gürus adıyla yayımlanan “Melankoli” (1959) dir. Bunun dışında çıraklık dönemine ait diğer şiirleri, hikaye, köşe yazılarıYeni Çankırı,Devrim, ÇağrıveYeşil Ilgazgibi yerel gazete ve dergilerde yayımlandı. 1960’tan itibaren ise şiirleriVarlık,Yelken, Dost,Devinim 60,Elif,Yapraklar ve Evrimgibi dergilerde okuyucu ile buluştu."
Attila İlhan,https://teis.yesevi.edu.tr/madde-detay/attila-ilhan,3,Medya -  Yayıncılık,Şair -  Yazar -  Gazeteci -   Senarist,True,"Varlık, Acaoğlu, Altın Kitaplar",3,İzmir,38.41273,27.13838,1925,2005,80,"İzmir / Menemen'de doğdu. Babası Muharrem Bedrettin Bey, Gürünlü bir ailenin çocuğudur. İstanbul'da Mekteb-i Hukuk'u bitirdikten sonra savcı olarak Menemen'e gelmiştir. Annesi Perihan Memnune Hanım ise Menemenli Gemicigil ailesindendir. Attila İlhan, ilköğrenimine Karşıyaka'da Cumhuriyet İlkokulu'nda 1932 yılında başladı. İlkokulu bitirince babasının Konya/Ilgın'a gitmesi ve Ilgın'da ortaokulun olmaması nedeniyle 1937-1938 eğitim - öğretim yılında okuyamadı. Ardından Karşıyaka Atatürk Ortaokulu'na kaydoldu. Bir yıl sonra yine babasının görevi nedeniyle Balıkesir'de yatılı okudu. Ortaokul macerası yine Karşıyaka'da tamamlandı. İzmir Atatürk Lisesi birinci sınıfındayken mektuplaştığı bir kıza yazdığı Nazım Hikmet şiirlerinin yakalanmasıyla 1941 Şubat'ında, 16 yaşındayken tutuklandı ve okuldan uzaklaştırıldı. Üç hafta gözaltında kaldı. Kendisine Türkiye'nin hiçbir yerinde okuyamayacağına dair bir belge verilince, eğitim hayatına ara vermek zorunda kaldı. Danıştay kararıyla, 1944 yılında okuma hakkını tekrar kazandı ve İstanbul Işık Lisesi'ne yazıldı. Lise son sınıftayken amcasının kendisinden habersiz katıldığı CHP Şiir Armağanı'nda ""Cebbaroğlu Mehemmed"" şiiriyle pek çok ünlü şairi geride bırakarak Cahit Sıtkı Tarancı ile Fazıl Hüsnü Dağlarca'nın arasında ikincilik ödülünü aldı. 1946'ta Işık Lisesi'nden mezun oldu. İstanbul Hukuk Fakültesi'ne kaydoldu. Üniversite hayatının ilk yıllarında başarılı bir öğrenci oldu. Ancak bir taraftan da bu dönemdeYığınveGüngibi dergilerde şiirlerini yayımlamaya başladı. 1948'de ilk şiir kitabıDuvar'ı kendi imkanlarıyla çıkardı. 1949 yılında ailesini de ikna ederek, kardeşi Cengiz İlhan ile birlikte ilk kez Paris'e gitti. Çok kısa süren bu Paris macerasından sonra yurda döndü veGerçekgazetesinde çalışmaya başladı, siyasal kavgaların içerisine girdi. Bu bakımdan eğitimini de aksatan Attila İlhan,1951 yılındaGerçekgazetesinde yer alan bir yazısından dolayı kovuşturmaya uğrayınca tekrar Paris'e gitti."
Avanzade Mehmet Süleyman,https://teis.yesevi.edu.tr/madde-detay/mehmet-suleyman-avanzade,47,Yayıncılık -  Sağlık,Eczacı -  Yazar -  Çevirmen,False,"Asır Kütüphanesi, Mahmud Bey, Yuvanaki Panayoditis, Lusiyen, Matbaa-i Jirayır ve Keteon, Kader, Kadınların Dünyası Matbaası, Necm-i İstikbal, Araks, Evkaf, Matbaa-i Orhaniye, İkdam, Türk Dünyası, İtimad Kütüphanesi",14,"Beşiktaş ,  İstanbul",41.04541,29.00991,1871,1922,51,"Avanzade Mehmet Süleyman, 1871'de İstanbul Beşiktaş Abbasağa Mahallesinde doğdu. (Erdoğan Çeltik 2017: 5) Babası Karahisarlı Avanzade Süleyman Bey’dir. 1890'da Beşiktaş Askeri Rüştiyesi’ni, 1893'te Tıbbiye Mektebi Eczacılık bölümünü bitirdi. (Komisyon 2003: 668) Bu tahsilinden sonra bir müddet Haydarpaşa ve Yıldız Hastanelerinde görev aldı. (Erdoğan Çeltik 2017:6) Ayrıca Haydarpaşa Askeri Tatbikat Mektebi’nde muallim muavini olarak çalıştı ve Fransızca ve fizik derslerine girdi. (Okay 1999: 188)"
